Site_id	Site_name	Parameters	Axis_title
433204112562001	CFA 1	CL, Na, SO4, NO3+NO2	
433144112563501	CFA 2	CL, Na, SO4, NO3+NO2	
433216112571001	CFA LF 3-9	CL, NO3+NO2	
433216112563301	CFA LF 2-10	CL, Na, NO3+NO2, CR, O-PO4 as P, CR	
433433112560201	CPP 1	CL, Na, SO4, NO3+NO2, O-PO4 as P, F	
433432112560801	CPP 2	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433520112572601	MTR TEST	CL, Na, SO4, NO3+NO2	
433243112591101	RIFLE RANGE	CL, Na, SO4, CR	
433008113021801	RWMC M3S	CL, NO3+NO2, O-PO4 as P	
433023113014801	RWMC M7S	CL, NO3+NO2, O-PO4 as P	
433058113010401	RWMC M11S	CL, Na, NO3+NO2	
433118112593401	RWMC M12S	CL, Na, NO3+NO2, CR, O-PO4 as P, CR	
433037113002701	RWMC M13S	CL, Na, NO3+NO2, CR, O-PO4 as P, CR	
433052113025001	RWMC M14S	CL, Na, NO3+NO2, CR, O-PO4 as P, CR	
433002113021701	RWMC Production	CL, Na, SO4, NO3+NO2	
433506112572301	TRA Disposal	CL, Na, SO4, NO3+NO2, O-PO4 as P, CR	
433253112545901	USGS 20	CL, Na, SO4, NO3+NO2	
433334112565501	USGS 34	CL, Na, SO4, NO3+NO2, F	
433339112565801	USGS 35	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433330112565201	USGS 36	CL, Na, SO4, NO3+NO2	
433326112564801	USGS 37	CL, Na, SO4, NO3+NO2	
433322112564301	USGS 38	CL, Na, SO4, NO3+NO2, F	
433343112570001	USGS 39	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433411112561101	USGS 40	CL, Na, SO4, NO3+NO2	
433409112561301	USGS 41	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433404112561301	USGS 42	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433415112561501	USGS 43	CL, Na, SO4, NO3+NO2	
433409112562101	USGS 44	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433402112561801	USGS 45	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433407112561501	USGS 46	CL, Na, SO4, NO3+NO2, O-PO4 as P	
433407112560301	USGS 47	CL, Na, SO4, NO3+NO2	
433401112560301	USGS 48	CL, Na, SO4, NO3+NO2	
433350112560601	USGS 51	CL, Na, SO4, NO3+NO2	
433414112554201	USGS 52	CL, Na, SO4, NO3+NO2	
433344112562601	USGS 57	CL, Na, SO4, NO3+NO2	
433500112572502	USGS 58	CL, Na, SO4, CR	
433354112554701	USGS 59	CL, Na, SO4, NO3+NO2	
433447112574501	USGS 65	CL, Na, SO4, NO3+NO2, CR, BA, U	
433344112554101	USGS 67	CL, Na, SO4, NO3+NO2	
433425112573201	USGS 76	CL, Na, SO4, NO3+NO2	
433315112560301	USGS 77	CL, Na, SO4, NO3+NO2, F	
433505112581901	USGS 79	CL, Na, SO4	
433401112551001	USGS 82	CL, Na, SO4, NO3+NO2	
